Index,Organism
1,Achlya bisexualis
2,Arabidopsis thaliana
3,Aspergillus oryzae
4,Caenorhabditis elegans
5,Candida albicans
6,Coprinus cinereus
7,Coptis japonica
8,Culex tarsalis
9,Drosophila melanogaster
10,Drosophila simulans
11,Drosophila yakuba
12,Emericella nidulans
13,Gallus gallus
14,Homo sapiens
15,Hordeum vulgare
16,Latimeria chalumnae
17,Leishmania mexicana
18,Macaca mulatta
19,Mus musculus
20,Oryctolagus cuniculus
21,Oryza sativa
22,Petunia hybrida
23,Rattus norvegicus
24,Saccharomyces cerevisiae
25,Schistosoma japonicum
26,Schistosoma mansoni
27,Schizosaccharomyces pombe
28,Secale cereale
29,Stellaria longipes
30,Taenia solium
31,Triticum aestivum
32,Zea mays
33,Zygosaccharomyces bailii
